C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Time[fs],  55.059000,  55.553000,  26.798000,  26.704000,  
Charge Sum,    6.3688792794, 
X Velocity[A/fs],  -0.209185,   0.205512,  -0.686406,   0.651802,  
Y Velocity[A/fs],  -0.002455,  -0.000156,  -0.017856,   0.052166, 
Z Velocity[A/fs],   0.003185,  -0.002841,  -0.051452,   0.050133,  
Speed[A/fs],   0.209224,   0.205532,   0.688564,   0.655805,  
 
C2H2_14r113,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6662759781,    2.6681578159,    0.9991883996,    0.9999402800,  
Time[fs],  55.605000,  55.677000,  26.909000,  26.817000,  
Charge Sum,    6.3335624737, 
X Velocity[A/fs],  -0.206006,   0.204435,  -0.675261,   0.642551,  
Y Velocity[A/fs],  -0.002775,   0.004458,   0.074075,  -0.066301, 
Z Velocity[A/fs],   0.007342,  -0.005840,  -0.072338,   0.087178,  
Speed[A/fs],   0.206156,   0.204567,   0.683153,   0.651819,  
 
C2H2_14r91,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7628102303,    2.5847761631,    0.9992860032,    0.9999374466,  
Time[fs],  56.342000,  56.796000,  26.854000,  26.778000,  
Charge Sum,    6.3468098431, 
X Velocity[A/fs],  -0.200379,   0.196760,  -0.678570,   0.655957,  
Y Velocity[A/fs],   0.002306,   0.005600,  -0.045069,  -0.044947, 
Z Velocity[A/fs],  -0.003788,  -0.003307,   0.067466,  -0.050331,  
Speed[A/fs],   0.200428,   0.196867,   0.683403,   0.659419,  
 
C2H2_14r185,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9177629948,    2.4273729324,    0.9991578980,    0.9999094823,  
Time[fs],  56.661000,  59.440000,  26.752000,  26.896000,  
Charge Sum,    6.3442033075, 
X Velocity[A/fs],  -0.194681,   0.181551,  -0.685647,   0.654223,  
Y Velocity[A/fs],  -0.000096,  -0.000311,   0.047202,  -0.042646, 
Z Velocity[A/fs],   0.008320,  -0.005467,  -0.073701,   0.050615,  
Speed[A/fs],   0.194859,   0.181634,   0.691210,   0.657562,  
 
C2H2_14r90,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0843608379,    2.2389894724,    0.9992710701,    0.9999661021,  
Time[fs],  58.913000,  61.038000,  26.765000,  26.835000,  
Charge Sum,    6.3225874826, 
X Velocity[A/fs],  -0.182263,   0.173035,  -0.679049,   0.642937,  
Y Velocity[A/fs],  -0.001609,  -0.006244,   0.027052,   0.055899, 
Z Velocity[A/fs],   0.008314,   0.004607,  -0.048786,  -0.034038,  
Speed[A/fs],   0.182460,   0.173209,   0.681336,   0.646259,  
 
C2H2_14r177,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0281186104,    2.3201279640,    0.9991378851,    0.9999118432,  
Time[fs],  58.481000,  59.417000,  26.904000,  26.937000,  
Charge Sum,    6.3472963027, 
X Velocity[A/fs],  -0.185417,   0.180278,  -0.680633,   0.648324,  
Y Velocity[A/fs],  -0.000129,  -0.000948,  -0.054487,   0.056821, 
Z Velocity[A/fs],   0.006400,  -0.003845,  -0.070355,   0.081212,  
Speed[A/fs],   0.185527,   0.180321,   0.686426,   0.655856,  
 
C2H2_14r191,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9125826359,    2.3900002241,    0.9994268088,    0.9999530677,  
Time[fs],  59.026000,  58.066000,  26.812000,  26.868000,  
Charge Sum,    6.3019627365, 
X Velocity[A/fs],  -0.185012,   0.187439,  -0.673010,   0.646314,  
Y Velocity[A/fs],  -0.005489,   0.006185,   0.067472,  -0.075790, 
Z Velocity[A/fs],   0.003949,  -0.014993,   0.009915,   0.075829,  
Speed[A/fs],   0.185135,   0.188139,   0.676457,   0.655146,  
 
C2H2_14r128,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2605773211,    1.9764177799,    0.9994703056,    0.9999189302,  
Time[fs],  63.197000,  64.019000,  26.820000,  26.905000,  
Charge Sum,    6.2363843368, 
X Velocity[A/fs],  -0.162237,   0.158380,  -0.671314,   0.645109,  
Y Velocity[A/fs],   0.003660,  -0.004610,  -0.019343,   0.043408, 
Z Velocity[A/fs],  -0.004445,   0.003975,   0.045184,  -0.046044,  
Speed[A/fs],   0.162339,   0.158497,   0.673111,   0.648205,  
 
C2H2_14r63,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0850602388,    2.3305038214,    0.9992979288,    0.9999681238,  
Time[fs],  57.328000,  58.958000,  26.778000,  26.650000,  
Charge Sum,    6.4148301128, 
X Velocity[A/fs],  -0.188867,   0.180858,  -0.689160,   0.651911,  
Y Velocity[A/fs],  -0.005710,   0.005439,   0.078377,  -0.074872, 
Z Velocity[A/fs],  -0.001438,   0.003716,   0.052036,  -0.049304,  
Speed[A/fs],   0.188958,   0.180978,   0.695552,   0.658046,  
 
C2H2_14r38,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2858792543,    2.0902127028,    0.9991245461,    0.9999452375,  
Time[fs],  61.853000,  60.560000,  26.783000,  26.667000,  
Charge Sum,    6.3751617407, 
X Velocity[A/fs],  -0.167184,   0.170475,  -0.683668,   0.657498,  
Y Velocity[A/fs],   0.002553,  -0.002392,  -0.014222,   0.038940, 
Z Velocity[A/fs],  -0.000675,   0.009687,   0.001123,  -0.074234,  
Speed[A/fs],   0.167204,   0.170767,   0.683817,   0.662820,  
 
C2H2_14r33,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1727975607,    2.1863465309,    0.9988779011,    0.9998680537,  
Time[fs],  60.186000,  60.424000,  26.927000,  26.852000,  
Charge Sum,    6.3578900465, 
X Velocity[A/fs],  -0.175240,   0.173079,  -0.681551,   0.656770,  
Y Velocity[A/fs],  -0.009575,   0.007445,   0.088423,  -0.076359, 
Z Velocity[A/fs],   0.001593,   0.002675,   0.007268,  -0.049333,  
Speed[A/fs],   0.175509,   0.173259,   0.687302,   0.663032,  
 
C2H2_14r81,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0285921097,    2.2315983772,    0.9995819873,    0.9999120903,  
Time[fs],  60.965000,  59.635000,  26.810000,  26.879000,  
Charge Sum,    6.2596845646, 
X Velocity[A/fs],  -0.174572,   0.177896,  -0.670525,   0.648239,  
Y Velocity[A/fs],  -0.007419,   0.007873,   0.046311,  -0.084949, 
Z Velocity[A/fs],   0.004929,   0.004076,  -0.040122,  -0.046142,  
Speed[A/fs],   0.174799,   0.178117,   0.673319,   0.655407,  
 
C2H2_14r109,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7191677094,    2.6426166296,    0.9989852194,    0.9999161157,  
Time[fs],  56.161000,  55.575000,  26.873000,  26.778000,  
Charge Sum,    6.3606856740, 
X Velocity[A/fs],  -0.202195,   0.203799,  -0.684618,   0.646442,  
Y Velocity[A/fs],   0.000436,  -0.008752,   0.032682,   0.043856, 
Z Velocity[A/fs],  -0.006629,   0.013641,   0.025485,  -0.074575,  
Speed[A/fs],   0.202304,   0.204443,   0.685871,   0.652206,  
 
C2H2_14r40,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1528012753,    2.2242121696,    0.9993014925,    0.9998948397,  
Time[fs],  57.995000,  60.873000,  26.756000,  26.814000,  
Charge Sum,    6.3762097771, 
X Velocity[A/fs],  -0.183654,   0.170948,  -0.685049,   0.658338,  
