r_seed=1,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
X Velocity[A/fs],  -0.378566,  -0.245551,   0.235389,   0.372584,  -0.127735,  -0.337939,  -0.856697,  -0.084561,  -0.472503,   0.434048,   0.092160,   0.135743,   0.414903,   0.852403,  
Y Velocity[A/fs],  -0.325597,   0.321810,   0.326627,  -0.316071,  -0.810762,  -0.181370,  -0.021495,   0.184888,   0.767830,   0.794132,   0.221396,  -0.814057,  -0.139377,  -0.030014, 
Z Velocity[A/fs],   0.102859,  -0.293603,   0.292666,  -0.104744,  -0.243268,   0.781279,  -0.253320,  -0.858947,   0.159759,  -0.119140,   0.859863,   0.197501,  -0.768754,   0.267622,  
Speed[A/fs],   0.509809,   0.500060,   0.497742,   0.499691,   0.856056,   0.870342,   0.893623,   0.882680,   0.915612,   0.912819,   0.892678,   0.848600,   0.884620,   0.893931,  
 
r_seed=17,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.063000,  25.715000,  24.823000,  22.426000,  10.149000,  10.584000,   9.309000,   9.463000,  10.342000,  10.176000,   9.589000,  10.111000,  10.463000,   9.484000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.379365,  -0.234196,   0.254323,   0.372827,  -0.118184,  -0.387018,  -0.857607,  -0.086670,  -0.470305,   0.467914,   0.117609,   0.106503,   0.410983,   0.843999,  
