r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.165647,  -0.197546,   0.025882,   0.239450,   0.076688,   0.072578,   0.877231,   0.168663,  
Y Velocity[A/fs],   0.088348,  -0.087522,  -0.222107,  -0.025126,   0.228690,  -0.874211,  -0.062363,   0.860048, 
Z Velocity[A/fs],   0.001852,  -0.015102,   0.009899,   0.001567,  -0.002427,   0.003879,   0.013710,   0.033310,  
Speed[A/fs],   0.187744,   0.216593,   0.223829,   0.240770,   0.241218,   0.877227,   0.879552,   0.877063,  
 
r_seed=17,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.165194,  -0.188429,   0.034069,   0.245062,   0.080438,   0.014344,   0.879659,   0.195042,  
Y Velocity[A/fs],   0.091811,  -0.086123,  -0.219542,  -0.022822,   0.228439,  -0.876775,  -0.101401,   0.857046, 
Z Velocity[A/fs],  -0.000439,   0.000449,  -0.005385,   0.001167,  -0.021071,   0.031218,   0.001428,  -0.018321,  
Speed[A/fs],   0.188993,   0.207178,   0.222235,   0.246125,   0.243102,   0.877447,   0.885486,   0.879150,  
 
r_seed=18,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
