isoxazole_14r10,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
isoxazole_14r6,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.2425203323,    1.2188546658,    1.3714213371,    1.5525214672,    1.5017259121,    0.9996643860,    0.9993106809,    0.9997276357,  
Time[fs],  80.521000,  93.301000,  71.827000,  72.407000,  66.799000,  31.155000,  31.151000,  31.202000,  
Charge Sum,    9.8857464171, 
X Velocity[A/fs],  -0.181190,  -0.153603,   0.052769,   0.217837,   0.044483,   0.082901,   0.741897,   0.131945,  
Y Velocity[A/fs],   0.085854,  -0.102739,  -0.199000,   0.014441,   0.215381,  -0.735664,  -0.007314,   0.734459, 
Z Velocity[A/fs],  -0.006785,   0.002597,   0.002093,   0.004495,  -0.010136,  -0.045171,  -0.034718,   0.076785,  
Speed[A/fs],   0.200616,   0.184813,   0.205888,   0.218362,   0.220160,   0.741697,   0.742745,   0.750156,  
 
isoxazole_14r7,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1471228600,    1.0650916100,    1.3922491074,    1.3796384335,    1.7664475441,    0.9998098320,    0.9996947711,    0.9998629475,  
Time[fs],  79.920000,  88.255000,  74.520000,  72.421000,  62.088000,  31.076000,  31.627000,  31.409000,  
Charge Sum,    9.7499171054, 
X Velocity[A/fs],  -0.186356,  -0.165479,   0.065393,   0.215068,   0.054362,   0.122268,   0.736268,   0.115569,  
Y Velocity[A/fs],   0.050840,  -0.116816,  -0.188298,  -0.007142,   0.253864,  -0.730803,   0.021935,   0.730516, 
Z Velocity[A/fs],  -0.001949,   0.004810,   0.004407,  -0.014771,   0.007521,  -0.032837,   0.070942,   0.028204,  
Speed[A/fs],   0.193176,   0.202614,   0.199378,   0.215693,   0.259728,   0.741687,   0.740003,   0.740138,  
 
isoxazole_14r8,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    0.9861502647,    1.2627062798,    1.4119226933,    1.2972064018,    1.6339743137,    0.9997022455,    0.9994779015,    0.9997044492,  
Time[fs],  80.456000,  84.874000,  80.999000,  70.928000,  68.522000,  31.778000,  31.322000,  31.776000,  
Charge Sum,    9.5908445495, 
X Velocity[A/fs],  -0.184970,  -0.173368,   0.070024,   0.219519,   0.054960,   0.164489,   0.748186,   0.129016,  
Y Velocity[A/fs],   0.061542,  -0.140322,  -0.166646,  -0.010589,   0.222146,  -0.703412,   0.037138,   0.728627, 
Z Velocity[A/fs],   0.001007,   0.003002,  -0.001896,   0.001911,  -0.005867,   0.012253,  -0.011289,   0.047846,  
Speed[A/fs],   0.194942,   0.223061,   0.180770,   0.219782,   0.228919,   0.722492,   0.749193,   0.741506,  
 
isoxazole_14r9,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1667332649,    1.2425007820,    1.3591015339,    1.6377449036,    1.3051400185,    0.9997919788,    0.9997021879,    0.9999242116,  
Time[fs],  86.486000,  87.592000,  76.097000,  70.283000,  73.821000,  31.257000,  31.555000,  31.143000,  
Charge Sum,    9.7106388811, 
X Velocity[A/fs],  -0.167289,  -0.168016,   0.053538,   0.228524,   0.035366,   0.116511,   0.738999,   0.091951,  
Y Velocity[A/fs],   0.081353,  -0.120697,  -0.182997,   0.034170,   0.185281,  -0.733105,   0.023661,   0.716754, 
Z Velocity[A/fs],  -0.001753,   0.004574,  -0.000606,  -0.002930,   0.009360,   0.022903,   0.010672,  -0.082920,  
Speed[A/fs],   0.186029,   0.206925,   0.190669,   0.231083,   0.188858,   0.742659,   0.739455,   0.727370,  
 
