r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Z Velocity[A/fs],  -0.015136,   0.009278,   0.024387,   0.027927,  
Speed[A/fs],   0.192126,   0.190983,   0.830202,   0.846461,  
 
r_seed=44,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.949000,  37.998000,   7.795000,   7.672000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196810,   0.186921,  -0.832256,   0.840466,  
Y Velocity[A/fs],  -0.006842,  -0.005787,  -0.021309,  -0.006004, 
Z Velocity[A/fs],   0.003239,   0.001849,  -0.025153,  -0.026438,  
Speed[A/fs],   0.196955,   0.187019,   0.832909,   0.840903,  
 
r_seed=45,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.553000,  37.581000,   7.858000,   7.734000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193633,   0.188653,  -0.830276,   0.843948,  
Y Velocity[A/fs],  -0.006030,   0.009574,  -0.038080,   0.046841, 
Z Velocity[A/fs],  -0.007584,   0.004668,   0.029288,   0.029561,  
Speed[A/fs],   0.193875,   0.188954,   0.831665,   0.845764,  
 
r_seed=46,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.331000,  38.878000,   7.786000,   7.755000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.200155,   0.182974,  -0.835502,   0.837467,  
Y Velocity[A/fs],  -0.002280,   0.001721,  -0.004962,  -0.018301, 
Z Velocity[A/fs],  -0.010863,   0.010085,  -0.029604,   0.003829,  
Speed[A/fs],   0.200463,   0.183260,   0.836041,   0.837675,  
 
r_seed=47,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.161000,  37.902000,   7.867000,   7.667000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195306,   0.187163,  -0.834694,   0.840984,  
Y Velocity[A/fs],   0.002843,  -0.010142,  -0.003404,   0.045995, 
Z Velocity[A/fs],   0.001923,   0.004363,   0.002635,  -0.021465,  
Speed[A/fs],   0.195336,   0.187489,   0.834705,   0.842514,  
 
r_seed=48,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.426000,  37.610000,   7.780000,   7.723000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194324,   0.188444,  -0.829765,   0.843259,  
Y Velocity[A/fs],  -0.003051,   0.013598,   0.006476,  -0.036986, 
Z Velocity[A/fs],  -0.010669,   0.006889,   0.038066,   0.029362,  
Speed[A/fs],   0.194640,   0.189059,   0.830663,   0.844580,  
 
r_seed=49,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.798000,  38.394000,   7.836000,   7.744000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197367,   0.184883,  -0.835218,   0.840991,  
Y Velocity[A/fs],   0.004104,   0.003197,   0.000403,   0.016759, 
Z Velocity[A/fs],   0.013755,  -0.001828,  -0.017622,  -0.010030,  
Speed[A/fs],   0.197889,   0.184920,   0.835404,   0.841218,  
 
r_seed=50,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.437000,  37.568000,   7.791000,   7.681000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193925,   0.188447,  -0.831454,   0.843434,  
Y Velocity[A/fs],   0.014575,  -0.004887,   0.013572,  -0.038230, 
Z Velocity[A/fs],   0.000328,   0.005252,   0.010060,  -0.035019,  
Speed[A/fs],   0.194472,   0.188584,   0.831626,   0.845026,  
 
r_seed=51,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.948000,  38.107000,   7.853000,   7.657000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196610,   0.186386,  -0.833898,   0.840394,  
Y Velocity[A/fs],   0.006014,  -0.007488,   0.021851,   0.006356, 
Z Velocity[A/fs],  -0.004565,   0.002754,  -0.037719,   0.016546,  
Speed[A/fs],   0.196755,   0.186556,   0.835036,   0.840581,  
 
