C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.4148301128, 
X Velocity[A/fs],  -0.193980,   0.185358,  -0.751218,   0.715937,  
Y Velocity[A/fs],  -0.005891,   0.005603,   0.086326,  -0.082912, 
Z Velocity[A/fs],  -0.001525,   0.003798,   0.057080,  -0.054615,  
Speed[A/fs],   0.194076,   0.185482,   0.758313,   0.722788,  
 
C2H2_14r38,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2858792543,    2.0902127028,    0.9991245461,    0.9999452375,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3751617407, 
X Velocity[A/fs],  -0.170630,   0.174281,  -0.746350,   0.721763,  
Y Velocity[A/fs],   0.002606,  -0.002468,  -0.015823,   0.042806, 
Z Velocity[A/fs],  -0.000771,   0.009846,   0.001313,  -0.082183,  
Speed[A/fs],   0.170652,   0.174576,   0.746519,   0.727687,  
 
C2H2_14r33,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1727975607,    2.1863465309,    0.9988779011,    0.9998680537,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3578900465, 
X Velocity[A/fs],  -0.179333,   0.177077,  -0.743237,   0.720473,  
Y Velocity[A/fs],  -0.009806,   0.007667,   0.097312,  -0.084447, 
Z Velocity[A/fs],   0.001591,   0.002708,   0.008044,  -0.054388,  
Speed[A/fs],   0.179608,   0.177263,   0.749623,   0.727441,  
 
C2H2_14r81,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0285921097,    2.2315983772,    0.9995819873,    0.9999120903,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.2596845646, 
X Velocity[A/fs],  -0.178563,   0.182307,  -0.733228,   0.712799,  
Y Velocity[A/fs],  -0.007600,   0.008104,   0.051572,  -0.093950, 
Z Velocity[A/fs],   0.004968,   0.004100,  -0.044182,  -0.051041,  
Speed[A/fs],   0.178794,   0.182533,   0.736367,   0.720773,  
 
C2H2_14r109,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7191677094,    2.6426166296,    0.9989852194,    0.9999161157,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3606856740, 
X Velocity[A/fs],  -0.208352,   0.210190,  -0.748187,   0.712228,  
Y Velocity[A/fs],   0.000549,  -0.008955,   0.035924,   0.048795, 
Z Velocity[A/fs],  -0.006951,   0.014039,   0.028228,  -0.083106,  
Speed[A/fs],   0.208469,   0.210848,   0.749580,   0.718718,  
 
C2H2_14r40,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1528012753,    2.2242121696,    0.9993014925,    0.9998948397,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3762097771, 
X Velocity[A/fs],  -0.188411,   0.174747,  -0.747466,   0.722210,  
