C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1727975607,    2.1863465309,    0.9988779011,    0.9998680537,  
Time[fs],  60.537000,  60.791000,  26.898000,  26.824000,  
Charge Sum,    6.3578900465, 
X Velocity[A/fs],  -0.173298,   0.171059,  -0.701013,   0.675374,  
Y Velocity[A/fs],  -0.010143,   0.007905,   0.091173,  -0.078616, 
Z Velocity[A/fs],   0.001666,   0.003057,   0.007448,  -0.050812,  
Speed[A/fs],   0.173602,   0.171268,   0.706957,   0.681830,  
 
C2H2_14r81,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0285921097,    2.2315983772,    0.9995819873,    0.9999120903,  
Time[fs],  62.439000,  61.105000,  26.786000,  26.850000,  
Charge Sum,    6.2596845646, 
X Velocity[A/fs],  -0.166894,   0.169729,  -0.687116,   0.666877,  
Y Velocity[A/fs],  -0.007489,   0.008374,   0.047648,  -0.087503, 
Z Velocity[A/fs],   0.005312,   0.004619,  -0.041294,  -0.047668,  
Speed[A/fs],   0.167146,   0.169998,   0.690003,   0.674281,  
 
C2H2_14r109,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7191677094,    2.6426166296,    0.9989852194,    0.9999161157,  
Time[fs],  61.427000,  60.933000,  26.849000,  26.749000,  
Charge Sum,    6.3606856740, 
X Velocity[A/fs],  -0.169748,   0.169847,  -0.701142,   0.666414,  
Y Velocity[A/fs],  -0.000502,  -0.008709,   0.033589,   0.045475, 
Z Velocity[A/fs],  -0.005286,   0.013116,   0.025973,  -0.077232,  
Speed[A/fs],   0.169831,   0.170575,   0.702427,   0.672414,  
 
C2H2_14r40,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1528012753,    2.2242121696,    0.9993014925,    0.9998948397,  
Time[fs],  58.570000,  61.598000,  26.732000,  26.787000,  
Charge Sum,    6.3762097771, 
X Velocity[A/fs],  -0.180057,   0.167085,  -0.702681,   0.676874,  
