r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Y Velocity[A/fs],   0.009418,  -0.015198,   0.041056,   0.012826, 
Z Velocity[A/fs],  -0.013316,   0.007667,   0.024549,   0.023702,  
Speed[A/fs],   0.194658,   0.188959,   0.830065,   0.844888,  
 
r_seed=41,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.508000,  37.542000,   7.871000,   7.686000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193724,   0.188830,  -0.829651,   0.844793,  
Y Velocity[A/fs],   0.003991,   0.010177,   0.041809,  -0.022051, 
Z Velocity[A/fs],   0.001822,   0.004018,  -0.019636,  -0.008214,  
Speed[A/fs],   0.193773,   0.189147,   0.830936,   0.845121,  
 
r_seed=42,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.754000,  38.422000,   7.795000,   7.773000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197711,   0.184700,  -0.831914,   0.842432,  
Y Velocity[A/fs],   0.011964,  -0.001860,  -0.040387,   0.000587, 
Z Velocity[A/fs],  -0.005875,   0.007719,   0.003446,  -0.035769,  
Speed[A/fs],   0.198160,   0.184871,   0.832901,   0.843192,  
 
r_seed=43,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.007000,  37.135000,   7.892000,   7.680000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191259,   0.190755,  -0.827150,   0.846687,  
Y Velocity[A/fs],  -0.010355,  -0.000184,  -0.028840,   0.019231, 
Z Velocity[A/fs],  -0.015143,   0.009278,   0.026476,   0.028772,  
Speed[A/fs],   0.192137,   0.190981,   0.828076,   0.847394,  
 
r_seed=44,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.949000,  37.999000,   7.794000,   7.673000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196837,   0.186929,  -0.830683,   0.841309,  
Y Velocity[A/fs],  -0.006867,  -0.005778,  -0.019779,  -0.005202, 
Z Velocity[A/fs],   0.003214,   0.001858,  -0.023622,  -0.025637,  
Speed[A/fs],   0.196983,   0.187027,   0.831254,   0.841715,  
 
r_seed=45,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.553000,  37.582000,   7.858000,   7.735000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193671,   0.188666,  -0.828348,   0.845169,  
Y Velocity[A/fs],  -0.006066,   0.009589,  -0.036178,   0.048019, 
Z Velocity[A/fs],  -0.007620,   0.004683,   0.031188,   0.030738,  
Speed[A/fs],   0.193916,   0.188968,   0.829724,   0.847090,  
 
r_seed=46,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.330000,  38.879000,   7.785000,   7.756000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.200093,   0.182964,  -0.833983,   0.838812,  
Y Velocity[A/fs],  -0.002215,   0.001712,  -0.003486,  -0.016998, 
Z Velocity[A/fs],  -0.010798,   0.010077,  -0.028127,   0.005132,  
Speed[A/fs],   0.200396,   0.183249,   0.834464,   0.839000,  
 
r_seed=47,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.161000,  37.903000,   7.866000,   7.668000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195348,   0.187173,  -0.832704,   0.841797,  
Y Velocity[A/fs],   0.002804,  -0.010131,  -0.001458,   0.046769, 
Z Velocity[A/fs],   0.001883,   0.004375,   0.004580,  -0.020694,  
Speed[A/fs],   0.195377,   0.187498,   0.832718,   0.843350,  
 
r_seed=48,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.425000,  37.611000,   7.779000,   7.724000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194366,   0.188457,  -0.828283,   0.844411,  
Y Velocity[A/fs],  -0.003091,   0.013613,   0.007917,  -0.035878, 
Z Velocity[A/fs],  -0.010709,   0.006904,   0.039505,   0.030473,  
Speed[A/fs],   0.194686,   0.189074,   0.829263,   0.845722,  
 
r_seed=49,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.797000,  38.395000,   7.835000,   7.745000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197377,   0.184881,  -0.833404,   0.842271,  
Y Velocity[A/fs],   0.004096,   0.003196,   0.002172,   0.017996, 
Z Velocity[A/fs],   0.013748,  -0.001829,  -0.015852,  -0.008793,  
Speed[A/fs],   0.197898,   0.184917,   0.833558,   0.842509,  
 
r_seed=50,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.436000,  37.569000,   7.790000,   7.682000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193967,   0.188461,  -0.829906,   0.844331,  
Y Velocity[A/fs],   0.014534,  -0.004872,   0.015078,  -0.037375, 
Z Velocity[A/fs],   0.000288,   0.005267,   0.011566,  -0.034165,  
Speed[A/fs],   0.194511,   0.188597,   0.830124,   0.845848,  
 
r_seed=51,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.947000,  38.108000,   7.852000,   7.658000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196637,   0.186391,  -0.831987,   0.841147,  
Y Velocity[A/fs],   0.005990,  -0.007481,   0.023716,   0.007068, 
Z Velocity[A/fs],  -0.004590,   0.002761,  -0.035852,   0.017259,  
Speed[A/fs],   0.196782,   0.186561,   0.833096,   0.841354,  
 
