C4H10_14r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
X Velocity[A/fs],  -0.186690,  -0.097521,   0.104085,   0.164116,  -0.261872,  -0.408855,  -0.859214,  -0.066120,  -0.526165,   0.520920,  -0.029812,   0.150847,   0.538868,   0.854877,  
Y Velocity[A/fs],  -0.141960,   0.146467,   0.171607,  -0.156421,  -0.765480,  -0.326948,   0.019668,   0.151529,   0.743726,   0.727301,   0.249194,  -0.819312,  -0.210851,  -0.014055, 
Z Velocity[A/fs],   0.026382,  -0.145439,   0.146280,  -0.022211,  -0.408986,   0.737185,  -0.083926,  -0.883422,   0.043223,  -0.197520,   0.840712,   0.270794,  -0.687361,   0.216591,  
Speed[A/fs],   0.236012,   0.228288,   0.248355,   0.227805,   0.906536,   0.904157,   0.863528,   0.898759,   0.912056,   0.916154,   0.877373,   0.875989,   0.898500,   0.882000,  
 
C4H10_14r39,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.7337331772,    2.0079135895,    1.5978171825,    2.1253885031,    0.9992588850,    0.9971655908,    0.9634239338,    0.9994587104,    0.9978228537,    0.9998044938,    0.9993367149,    0.9985786418,    0.9998823864,    0.9953814615,  
Time[fs],  67.073000,  72.310000,  71.825000,  64.596000,  28.694000,  30.382000,  26.889000,  27.979000,  29.353000,  29.769000,  28.194000,  28.689000,  30.285000,  27.535000,  
Charge Sum,   17.4149661244, 
X Velocity[A/fs],  -0.174285,  -0.102363,   0.090635,   0.186316,  -0.162532,  -0.529216,  -0.826362,  -0.065166,  -0.542947,   0.591021,  -0.058339,   0.153938,   0.563381,   0.804020,  
Y Velocity[A/fs],  -0.147456,   0.154638,   0.153148,  -0.143114,  -0.793036,  -0.281950,  -0.041930,   0.211186,   0.726786,   0.698480,   0.229558,  -0.790944,  -0.127815,  -0.080554, 
Z Velocity[A/fs],   0.026646,  -0.148896,   0.157519,  -0.039245,  -0.401483,   0.697052,  -0.181329,  -0.873542,   0.158819,  -0.124728,   0.845985,   0.345481,  -0.702608,   0.343791,  
Speed[A/fs],   0.229845,   0.237826,   0.237657,   0.238192,   0.903610,   0.919482,   0.847061,   0.901067,   0.920995,   0.923437,   0.878516,   0.876725,   0.909611,   0.878139,  
 
C4H10_14r28,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    2.1106756926,    1.7152831554,    1.6011390686,    2.1104094982,    0.9990669776,    0.9997547788,    0.9845762737,    0.9992469220,    0.9998462525,    0.9997687823,    0.9984802854,    0.9995293260,    0.9997398444,    0.9999567035,  
